02,79334567890,1514740180,1514740940
01,79456789012,1513805932,1513806002
01,79990123456,1512990521,1512991997
01,79789012345,1512549873,1512550909
01,79778901234,1513273127,1513273292
02,79901234567,1513573027,1513574223
02,79667890123,1512508838,1512509836
02,79345678901,1512721470,1512722224
01,79456789012,1513685187,1513686935
02,79212345678,1513978799,1513978907
02,79101234567,1514123568,1514125054
02,79445678901,1514659030,1514659897
02,79890123456,1514408832,1514410483
02,79445678901,1514657866,1514659103
01,79567890123,1514348989,1514350659
02,79212345678,1513515236,1513516007
01,79901234567,1513272845,1513273941
02,79334567890,1513179176,1513180680
01,79123456789,1514498505,1514499178
01,79789012345,1513385350,1513386313
01,79678901234,1512767112,1512768095
01,79223456789,1514156197,1514157878
02,79789012345,1512447758,1512449386
02,79212345678,1513414240,1513414561
01,79345678901,1515014722,1515015792
02,79778901234,1512681107,1512681555
02,79990123456,1513300129,1513301500
01,79112345678,1514043375,1514044244
01,79234567890,1514529994,1514530056
02,79990123456,1514242898,1514243825
02,79234567890,1513163397,1513164566
02,79334567890,1512688386,1512689675
02,79334567890,1513022052,1513022878
02,79212345678,1513781841,1513783149
02,79567890123,1514694318,1514695894
02,79890123456,1515008303,1515008707
01,79212345678,1514422551,1514423641
01,79567890123,1513385520,1513385937
02,79123456789,1512912879,1512913741
02,79445678901,1513704750,1513705102
01,79556789012,1513633770,1513634784
01,79567890123,1514882925,1514883313
02,79889012345,1512800617,1512801331
02,79567890123,1514232052,1514233373
02,79990123456,1513853000,1513854306
02,79123456789,1514352514,1514353141
02,79212345678,1513651197,1513652598
01,79123456789,1514767567,1514769304
01,79678901234,1514306039,1514307448
01,79556789012,1514819750,1514821087
02,79901234567,1513112320,1513112509
